Header,Date,Description,Link
Maintaining Universal Primary Education: Lessons from Commonwealth Africa,  1 January 2009 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/maintaining-universal-primary-education-lessons-from-commonwealth-africa"",""more details"")"
DFID Results Framework results 2011 to 2015 by sector, 25 July 2016 ,,"=HYPERLINK(""https://www.gov.uk/government/publications/dfid-results-framework-results-2011-to-2015-by-sector"",""more details"")"
Country Study Report - Nigeria.,  1 January 2005 ,This page provides the individual sector breakdowns of our 2011-2015 DRF results.,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/country-study-report-nigeria"",""more details"")"
Header,Date,Description,Link
Teacher Education at a Distance: Impact on Development in the Community,  1 January 2006 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/teacher-education-at-a-distance-impact-on-development-in-the-community"",""more details"")"
"Prostate Cancer Awareness, Knowledge, and Screening Practices among Older Men in Oyo State, Nigeria",  1 January 2010 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/prostate-cancer-awareness-knowledge-and-screening-practices-among-older-men-in-oyo-state-nigeria"",""more details"")"
Parental Education and Children’s Educational Access Over Time: Evidence from Six African Countries,  1 January 2010 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/parental-education-and-children-s-educational-access-over-time-evidence-from-six-african-countries"",""more details"")"
Politics of access to education: the Nigerian story. [CREATE annual lecture],  1 January 2010 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/politics-of-access-to-education-the-nigerian-story-create-annual-lecture"",""more details"")"
The Role of Maternal Education During Educational Expansion for Children in Sub-Saharan Africa,  1 January 2011 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/the-role-of-maternal-education-during-educational-expansion-for-children-in-sub-saharan-africa"",""more details"")"
Comparative Trends in Ethno-Regional Inequalities in Ghana and Nigeria: Evidence from Demographic and Health Surveys.,  1 January 2009 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/comparative-trends-in-ethno-regional-inequalities-in-ghana-and-nigeria-evidence-from-demographic-and-health-surveys"",""more details"")"
"Determinants of Adoption of Improved Cassava Varieties among Farming Households in Oyo, Benue, and Akwa Ibom States of Nigeria. HarvestPlus Working Paper 20",  1 January 2015 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/determinants-of-adoption-of-improved-cassava-varieties-among-farming-households-in-oyo-benue-and-akwa-ibom-states-of-nigeria-harvestplus-working-paper-20"",""more details"")"
Knowledge dissemination and evaluation in a cervical cancer screening implementation program in Nigeria,  1 January 2007 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/knowledge-dissemination-and-evaluation-in-a-cervical-cancer-screening-implementation-program-in-nigeria"",""more details"")"
Application of Information and Communications Technology to the improvement of primary education in Oji River Local Government Area.,  1 January 2005 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/application-of-information-and-communications-technology-to-the-improvement-of-primary-education-in-oji-river-local-government-area"",""more details"")"
Reducing the cost of technical and vocational education,  1 January 1993 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/reducing-the-cost-of-technical-and-vocational-education"",""more details"")"
"Engaged yet Disengaged: Islamic Schools and the State in Kano, Nigeria.",  1 January 2009 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/engaged-yet-disengaged-islamic-schools-and-the-state-in-kano-nigeria"",""more details"")"
Role of Brokerage in Evolving Innovation Systems: A Case of the Fodder Innovation Project in Nigeria,  1 January 2011 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/role-of-brokerage-in-evolving-innovation-systems-a-case-of-the-fodder-innovation-project-in-nigeria"",""more details"")"
Prime Minister urges international action to stamp out modern slavery, 20 September 2016 ,Theresa May encourages international leaders and organisations to work together to stamp out modern slavery worldwide.,"=HYPERLINK(""https://www.gov.uk/government/news/pm-calls-for-global-action-to-stamp-out-modern-slavery"",""more details"")"
Department for International Development – About us,  2 June 2016 ,"The Department for International Development (DFID) leads the UK’s work to end extreme poverty, building a safer, healthier, more prosperous world for all of us which is firmly in the UK’s national interest. We're ending the…","=HYPERLINK(""https://www.gov.uk/government/organisations/department-for-international-development/about"",""more details"")"
Governance and Transparency Fund (GTF),none,The GTF was a one-off fund. All funding decisions have been taken and there are currently no plans to issue any further calls for proposals.,"=HYPERLINK(""https://www.gov.uk/guidance/governance-and-transparency-fund-gtf"",""more details"")"
Helpdesk Report: Education for pregnant girls and young mothers,  1 January 2015 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/helpdesk-report-education-for-pregnant-girls-and-young-mothers"",""more details"")"
Policy Transfer & Guideposts for Accountability for Complex Education Reforms,  1 January 2015 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/policy-transfer-guideposts-for-accountability-for-complex-education-reforms"",""more details"")"
School Choice in Lagos State,  1 January 2013 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/school-choice-in-lagos-state"",""more details"")"
Who Gets What? Is Improved Access to Basic Education Pro-Poor in SSA?,  1 January 2009 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/who-gets-what-is-improved-access-to-basic-education-pro-poor-in-ssa"",""more details"")"
Helpdesk Report: International Health Partnership (IHP+) Country Health Sector Teams: Background Literature Review,  1 January 2008 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/helpdesk-report-international-health-partnership-ihp-country-health-sector-teams-background-literature-review"",""more details"")"
Header,Date,Description,Link
In Service for Teacher Development in Sub-Saharan Africa - A Review of Literature Published between 1983-1997,  1 January 1999 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/in-service-for-teacher-development-in-sub-saharan-africa-a-review-of-literature-published-between-1983-1997"",""more details"")"
Willingness to pay for community-based health insurance in Nigeria: do economic status and place of residence matter?,  1 January 2010 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/willingness-to-pay-for-community-based-health-insurance-in-nigeria-do-economic-status-and-place-of-residence-matter"",""more details"")"
DFID Research: Agriculture on-air, 21 May 2009 ,"Recorded by Africans for Africans, the AGFAX radio service provides the latest information on agricultural and rural development","=HYPERLINK(""https://www.gov.uk/government/case-studies/dfid-research-agriculture-on-air"",""more details"")"
Home-Based Sexuality Education: Nigerian Parents Discussing Sex With Their Children.,  1 January 2008 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/home-based-sexuality-education-nigerian-parents-discussing-sex-with-their-children"",""more details"")"
Helpdesk Report: Girls' Education in Islamic Countries,  1 January 2011 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/helpdesk-report-girls-education-in-islamic-countries"",""more details"")"
Changing Patterns of Access to Education in Anglophone and Francophone Countries in Sub Saharan Africa: Is Education for All Pro-Poor?,  1 January 2011 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/changing-patterns-of-access-to-education-in-anglophone-and-francophone-countries-in-sub-saharan-africa-is-education-for-all-pro-poor"",""more details"")"
"Effects of training programme on HIV/AIDS prevention among primary health care workers in Oyo State, Nigeria",  1 January 2008 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/effects-of-training-programme-on-hiv-aids-prevention-among-primary-health-care-workers-in-oyo-state-nigeria"",""more details"")"
Spanning citizenship spaces through transnational coalitions: the Global Campaign for Education.,  1 January 2010 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/spanning-citizenship-spaces-through-transnational-coalitions-the-global-campaign-for-education"",""more details"")"
Prime Minister pledges new UK support to help tackle migration crisis, 21 September 2016 ,"The Prime Minister has announced how the UK is tackling some of the drivers of mass migration with new humanitarian funding to help address poverty, insecurity and conflict. ","=HYPERLINK(""https://www.gov.uk/government/news/prime-minister-pledges-new-uk-support-to-help-tackle-migration-crisis"",""more details"")"
Launch of  Alumni Awards 2017 in Thailand, 14 September 2016 ,The British Embassy and the British Council have launched the first year of three prestigious awards celebrating the UK alumni in Thailand. ,"=HYPERLINK(""https://www.gov.uk/government/world-location-news/launch-of-alumni-awards-2017-in-thailand"",""more details"")"
