Header,Date,Link
"With UNDP support, Nigeria moves to improve service delivery in the port sector","In an effort to enhance operational efficiency in the delivery of services within the country’s port sector, Nigeria has launched harmonised Standard Operating Procedures (SOPs) of all Agencies and Operators at the country’s Seaports.  ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/articles/2016/06/23/with-undp-support-nigeria-moves-to-improve-service-delivery-in-the-port-sector"",""more details"")"
UNDP will continue to support Nigeria in adopting a sustainable development pathway - Pa Lamin Beyai,"Intended Nationally Determined Contributions (INDCs) are no doubt one of the major outcomes of the Paris Agreement, and to a large extent, the centerpiece of the new global climate regime... ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/05/31/undp-will-continue-to-support-nigeria-in-adopting-a-sustainable-development-pathway-pa-lamin-beyai"",""more details"")"
Insecurity remains an ever-present threat to peace and development of Nigeria - Fatma Samoura,"Although the future holds great promise and early efforts of the [new] Government are beginning to bear fruit, the development path ahead will, clearly, not be an easy one. Stakeholders therefore, need to work together to ensure that the great promise of this nation – peace, unity and prosperity-, is realised, not just for the present generation but also the future ones. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/05/13/insecurity-remains-an-ever-present-threat-to-peace-and-development-of-nigeria-fatma-samoura"",""more details"")"
Unchecked human security parameters pose threats to human development in Nigeria - NHDR2016,"“Insecurity remains an ever-present threat to peace and development of the country … and, without a doubt, poses great danger and exacerbates an already fragile economic development landscape as the country grapples with the reality of shifting from over-reliance on oil and gas sector to other sectors."" Fatma Samoura","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/pressreleases/2016/05/13/national-human-development-report-2016-makes-compelling-case-that-unchecked-human-security-parameters-impacts-on-human-development-in-nigeria"",""more details"")"
A call to reflect on the challenge of insecurity and development in Nigeria,"On this day two years ago, suspected Boko Haram militants raided Government Secondary School – Chibok in Borno state of Nigeria abducting more than 200 girls in the process.  To date, most of these girls are yet to be traced and rescued. But even some of those who were rescued, especially those who fell pregnant as a result of forced marriage to their abductors, were never fully re-integrated into society, adding to their trauma. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/articles/2016/04/14/a-call-to-reflect-on-the-challenge-of-insecurity-and-development-in-nigeria"",""more details"")"
"To pursue equitable and sustainable econonmic growth, structural reforms are needed - Fatma Samoura ","At the UN, we believe that in order to pursue economic growth that is both equitable and sustainable, a number of structural reforms are needed. This is increasingly becoming more urgent as countries embark of the SDGs implementation process. Going forward, Mr Chairman, we will pursue, together with our national partners, especially the government, an economic diversification programme that elevates the agricultural, non-oil manufacturing, solid minerals and the service sectors, shifting emphasis and attention to higher value adding activities whilst reducing reliance on volatile commodity exports such as oil and gas","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/04/12/to-pursue-equitable-and-sustainable-economic-growth-structural-reforms-are-needed-fatma-samoura"",""more details"")"
"The situation in the Maiduguri is critical, there is urgent need for scaled up support - Fatma Samoura","The situation in Maiduguri is critical, there is need for all development and humanitarian actors to scale up their support to complement efforts by the government in Borno State.” Said Fatma Samoura, UN Resident and Humanitarian Coordinator who is also UNDP Resident Representative, at the end of her first mission to the North East of Nigeria. 
Ms. Samoura visited Maiduguri 31 March – 1 April 2016 during which period she met State Authorities, humanitarian actors from International Non-Governmental Organisations, Internally Displaced People (IDPs) in camps and informal host communities. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/pressreleases/2016/04/01/fatma-samoura-visits-maiduguri-appeals-for-urgent-humanitarian-support-for-borno-state-"",""more details"")"
Use post disaster recovery processes as opportunities to build resilient communities - Fatma Samoura,"Recovery and reconstruction means building back better. We need to look at what conditions made our infrastructure and livelihoods vulnerable to natural disasters and ensure that these conditions are not replicated during the recovery phase. We need to come up with measures to reduce exposure to future natural hazards – this is the essence of being Resilient. It means having the ability to Prevent, Absorb, Adapt and Transform ourselves in situations of disasters.","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/03/29/use-post-disaster-recovery-processes-as-opportunities-to-build-resilient-communities-fatma-samoura"",""more details"")"
"Nigeria needs strong institutions, a diversified economy and more for peace and security ","Nigeria has experienced growth in the recent past and now is Africa’s largest economy. However, this growth has not translated in poverty reduction and reduced inequalities.” Said new Head of the United Nations System and UNDP Resident Representative, Fatma Samoura during a breakfast meeting with the media today. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/pressreleases/2016/03/24/nigeria-needs-strong-institutions-a-diversified-economy-and-collective-efforts-to-prevent-conflicts-and-promote-peace-fatma-samoura"",""more details"")"
"Fatma Samoura formally begins her work. Prioritises poverty, North East and SDGs","United Nations (UN) Resident Coordinator and United Nations Development Programme (UNDP) Resident Representative in Nigeria, Ms. Fatma Samoura, today, presented her Letters of Credence to the Federal Republic of Nigeria through the Hon. Geoffrey Onyeama, Minister of Foreign Affairs of the Federal Republic of Nigeria. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/pressreleases/2016/02/11/fatma-samoura-formally-begins-her-work-in-nigeria-prioritises-poverty-north-east-and-sdgs"",""more details"")"
